"nhs_region","trust_type","trust_name","provider_code","wk_start","wk","onset_category","n","ecds_last_update","sus_last_update"
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-09,10,"CO",1,2020-03-16,2020-03-20
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-09,10,"Unlinked",3,2020-03-10,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-16,11,"CO",4,2020-03-22,2020-04-24
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-16,11,"HO.HA",1,2020-02-21,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-16,11,"HO.iHA",13,2020-03-20,2020-03-30
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-16,11,"HO.pHA",1,2020-03-11,2020-03-26
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-16,11,"Unlinked",2,2020-04-29,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-23,12,"CO",60,2020-03-29,2020-04-13
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-23,12,"HO.HA",3,2020-03-12,2020-03-31
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-23,12,"HO.iHA",8,2020-03-21,2020-03-31
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-23,12,"HO.pHA",1,2020-03-17,2020-03-29
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-23,12,"Unlinked",3,2020-03-22,2020-03-21
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-30,13,"CO",13,2020-03-31,2020-04-18
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-03-30,13,"Unlinked",5,NA,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-06,14,"CO",4,2020-04-12,2020-04-18
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-06,14,"HO.pHA",1,2020-03-29,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-06,14,"Unlinked",5,2020-04-05,2020-07-10
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-13,15,"CO",5,2020-04-18,2020-04-22
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-20,16,"CO",6,2020-04-25,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-20,16,"Unlinked",2,2020-04-17,2020-04-27
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-27,17,"HO.iHA",1,2020-04-23,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-04-27,17,"Unlinked",1,NA,2020-04-23
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-05-04,18,"Unlinked",2,NA,NA
